# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²)
120.5141445312453,2262.733868016273,-19.320843439878853,-0.159538795087896
120.56414453124529,2259.563802413538,-19.32845286138581,-0.14223026654735
120.61414453124529,2256.3925786583386,-19.334931594601546,-0.121170489899409
120.66414453124528,2253.2203480545886,-19.340814927715837,-0.11049138610831
120.71414453124528,2250.0472229391726,-19.345729231882878,-0.086787201872287
120.76414453124528,2246.8733838501353,-19.349535850254707,-0.065072052204298
120.81414453124528,2243.6990123074074,-19.352248752621318,-0.0466853312841
120.86414453124527,2240.5242481573814,-19.354391150349873,-0.036500009511046
120.91414453124527,2237.3491929103693,-19.3557291570074,-0.018054315038512
120.96414453124527,2234.1739866093926,-19.356253202468764,-0.002090380082468
121.01414453124526,2230.9987658016785,-19.35595146085547,0.008424663052003
121.06414453124526,2227.8235968478216,-19.355738869043194,0.004834590210886
121.11414453124526,2224.6484827742393,-19.35517087147271,0.014651182907125
121.16414453124526,2221.4734790158227,-19.354479311390794,0.014163909264661
121.21414453124525,2218.298594936459,-19.353688345662082,0.016495239758342
121.26414453124525,2215.1238428340594,-19.352877265263004,0.017955678081988
121.31414453124525,2211.949243517585,-19.35179897903924,0.022577435375446
121.36414453124524,2208.7748204819122,-19.350775809906548,0.021444535259904
121.41414453124524,2205.6005818381436,-19.349486754932226,0.027990311372536
121.46414453124524,2202.426564982546,-19.34817277660785,0.022380692132179
121.51414453124524,2199.252724196412,-19.347382480475655,0.011733422092045
121.56414453124523,2196.0789867565477,-19.346813581129044,0.012991626406411
121.61414453124523,2192.9053609530715,-19.345948031860843,0.02299188202022
121.66414453124523,2189.7319266318113,-19.344583547637058,0.020408677132011
121.71414453124522,2186.5586253172514,-19.34458844731406,-0.013507395303914
121.76414453124522,2183.3852358578665,-19.34542576791186,-0.019411203520583
121.81414453124522,2180.2116892880654,-19.34647160909363,-0.021545840412739
121.86414453124522,2177.037968636949,-19.347534706496983,-0.022075240479918
121.91414453124521,2173.86406360784,-19.348773361503333,-0.029051378232982
121.96414453124521,2170.6899159539034,-19.350472534280087,-0.033549780361868
122.01414453124521,2167.515510025239,-19.351816701043038,-0.025403220855423
122.0641445312452,2164.340879946058,-19.353345644159244,-0.034109726538271
122.1141445312452,2161.1659758346327,-19.35506144464575,-0.031190096106413
122.1641445312452,2157.9908265394693,-19.35625217058061,-0.01839468575454
122.2141445312452,2154.8155202633575,-19.356993231539626,-0.007775901704159
122.2641445312452,2151.640160824369,-19.35686962801522,0.006527389968264
122.31414453124519,2148.464835937016,-19.35673084030544,0.001790304964993
122.36414453124519,2145.289534972963,-19.356515841854577,0.004581670821059
122.41414453124519,2142.114265452016,-19.356345798312145,0.007559349713192
122.46414453124518,2138.939074734458,-19.35543179579281,0.025301949461796
122.51414453124518,2135.7640799278856,-19.354005540940285,0.037202759067562
122.56414453124518,2132.5894068645216,-19.351428451579398,0.058779209944237
122.61414453124517,2129.415193591519,-19.3485512719581,0.062164714454406
122.66414453124517,2126.2415083201963,-19.344903288210315,0.07613008587546
122.71414453124517,2123.068424088253,-19.34141713553444,0.06684174311128
122.76414453124517,2119.895899579726,-19.337986014149262,0.068804665016437
122.81414453124516,2116.7239348745156,-19.334623391093466,0.066956698366747
122.86414453124516,2113.5525233875596,-19.33115771136269,0.075124984673165
122.91414453124516,2110.3817383250134,-19.326951962327204,0.087312445212298
122.96414453124515,2107.2116509828293,-19.322809847969026,0.08045290054179
123.01414453124515,2104.042229823771,-19.318761787458573,0.081814916806608
123.06414453124515,2100.8734804544156,-19.31463709881642,0.081007142338208
123.11414453124515,2097.705388500433,-19.31075954424314,0.078651264316149
123.16414453124514,2094.5379551814763,-19.30657076584333,0.080621911389285
123.21414453124514,2091.371157407673,-19.303237489908067,0.055429840632723
123.26414453124514,2088.2048230260098,-19.30085514016494,0.038240345287981
123.31414453124513,2085.038797667951,-19.299516723627256,0.015395459068388
123.36414453124513,2081.8728991450853,-19.29930205742596,-0.006632496299349
123.41414453124513,2078.70694680183,-19.300105990251883,-0.020651616729096
123.46414453124513,2075.5408393179546,-19.301041457658346,-0.016493738085634
123.51414453124512,2072.374595866132,-19.301797865930265,-0.016523476375651
123.56414453124512,2069.208207046484,-19.302866174452564,-0.022818851595708
123.61414453124512,2066.041640450613,-19.30392749033319,-0.024567607233332
123.66414453124511,2062.874856504386,-19.30565838280793,-0.043378452113507
123.71414453124511,2059.707720811555,-19.308178150805883,-0.057568804733665
123.76414453124511,2056.540112807222,-19.31140829416315,-0.070737861671541
123.8141445312451,2053.371927769751,-19.31516344746177,-0.077911225083226
123.8641445312451,2050.2031087999067,-19.319092304403085,-0.0797085683271
123.9141445312451,2047.0336348638982,-19.32315742936643,-0.082549926825198
123.9641445312451,2043.8634852986204,-19.327266744459518,-0.077831087878361
124.0141445312451,2040.6927098659678,-19.33072720917486,-0.065846520177731
124.06414453124509,2037.5213783778752,-19.334205181191063,-0.072934668197306
124.11414453124509,2034.3494507864307,-19.3378969429592,-0.068163097613213
124.16414453124509,2031.1769851187137,-19.34061137249476,-0.044972534422806
124.21414453124508,2028.0041364996412,-19.342645279563992,-0.031363706863708
124.26414453124508,2024.8310463700568,-19.343437968756504,-0.003572113414165
124.31414453124508,2021.6579169373688,-19.343257430037898,0.008230644476762
124.36414453124507,2018.484847780417,-19.34275605002487,0.013769652267031
124.41414453124507,2015.311898617426,-19.341685804821697,0.032378511668813
124.46414453124507,2012.139225816405,-19.339333362148324,0.057310483388941
124.51414453124507,2008.967009566688,-19.336214861011403,0.070800606147823
124.56414453124506,2005.7953848151476,-19.33208841593497,0.088329277262568
124.61414453124506,2002.6244666243076,-19.327763869664768,0.086254423756663
124.66414453124506,1999.4542616135548,-19.323364108811315,0.087747826093984
124.71414453124505,1996.2847708618813,-19.319020536453344,0.093434600643564
124.76414453124505,1993.116069296602,-19.313589401461392,0.117394281100064
124.81414453124505,1989.948309802276,-19.30768534520374,0.123229462291192
124.86414453124505,1986.7815739898208,-19.301060295531023,0.134892265848694
124.91414453124504,1983.615922581287,-19.294648233058386,0.124474415776488
124.96414453124504,1980.451300642612,-19.28849685321932,0.115566455016925
125.01414453124504,1977.2876081332963,-19.283469769475357,0.088293119536246
125.06414453124503,1974.1246484331568,-19.279421330641316,0.077986318920707
125.11414453124503,1970.9623409674093,-19.275421599368478,0.079105690084621
125.16414453124503,1967.800672061377,-19.271758374438626,0.065493703083069
125.21414453124503,1964.6395335262557,-19.269030963349927,0.042854120074172
125.26414453124502,1961.4787437558912,-19.267535406233762,0.016740234727886
125.31414453124502,1958.3180903292769,-19.267309257213807,-0.002237681717769
125.36414453124502,1955.157434453484,-19.267491561739664,-0.012436938926593
125.41414453124501,1951.9966532299452,-19.269023329879495,-0.044937604529484
125.46414453124501,1948.8355151581848,-19.271740546731948,-0.06515975501432
125.51414453124501,1945.6738381337432,-19.275550341314748,-0.080155077587225
125.564144531245,1942.5115247046485,-19.279368509994928,-0.07946814582711
125.614144531245,1939.3485374960135,-19.283986441426343,-0.105374366158239
125.664144531245,1936.1846859849543,-19.289865936611633,-0.126329256203644
125.714144531245,1933.0198094823884,-19.296353747407608,-0.131771917534083
125.764144531245,1929.8538565438869,-19.302972125931163,-0.135145372725259
125.81414453124499,1926.6867885744255,-19.310001459354474,-0.144889021539513
125.86414453124499,1923.5185363012824,-19.317348977045146,-0.147123004956041
125.91414453124499,1920.3490836861379,-19.324567746568523,-0.14117831455448
125.96414453124498,1917.1784748745895,-19.33137473111986,-0.126779101874849
126.01414453124498,1914.006839674657,-19.33706505686719,-0.110445000011682
126.06414453124498,1910.834269536241,-19.34296509957253,-0.117048337585845
126.11414453124497,1907.6607668759955,-19.34821173213173,-0.096835327339416
126.16414453124497,1904.4864583029603,-19.35291569228312,-0.091703067346499
126.21414453124497,1901.3113975244464,-19.357364862837585,-0.084351039395359
126.26414453124497,1898.135651874106,-19.361233964973387,-0.073208745595318
126.31414453124496,1894.959298039856,-19.3647655222541,-0.060350043822423
126.36414453124496,1891.7824734337496,-19.36678854733742,-0.02533250419489
126.41414453124496,1888.605425704,-19.36761846769008,-0.006313364804104
126.46414453124495,1885.4283307119272,-19.367302032497307,0.020287840880958
126.51414453124495,1882.2514057372298,-19.365569097976103,0.044024967481586
126.56414453124495,1879.0748260414196,-19.363199028698187,0.054996902502529
126.61414453124495,1875.8987105590047,-19.35983545220525,0.074878001983173
126.66414453124494,1872.7231947084797,-19.356008165868698,0.080351683399139
